site_id|site_name|tower_began|tower_end|location_lat|location_long|location_elev|igbp|climate_koeppen|mat|map|site_id|site_name|tower_began|tower_end|location_lat|location_long|location_elev|mat|map|climate_koeppen|site_years|online_data
BR-Sa1|Santarem-Km67-Primary Forest|2002||-2.8567|-54.9589|88.00|EBF|Am|26.13|2075|BR-Sa1|Santarem-Km67-Primary Forest|2002|NA|-2.8567|-54.9589|88|26.13|2075|Am|NA|yes
BR-Sa3|Santarem-Km83-Logged Forest|2000|2003|-3.0180|-54.9714|100.00|EBF|Am|26.12|2044|BR-Sa3|Santarem-Km83-Logged Forest|2000|2003|-3.018|-54.9714|100|26.12|2044|Am|4|yes
CA-Ca1|British Columbia - 1948 Douglas-fir Stand.|1997||49.8673|-125.3336|300.00|ENF|Cfb|9.93|1369|CA-Ca1|British Columbia - 1948 Douglas-fir Stand.|1997|NA|49.8673|-125.3336|300|9.93|1369|Cfb|NA|no
CA-Ca2|British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000).|2000||49.8705|-125.2909|300.00|ENF|Cfb|9.86|1474|CA-Ca2|British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000).|2000|NA|49.8705|-125.2909|300|9.86|1474|Cfb|NA|no
CA-Ca3|British Columbia - Pole sapling Douglas-fir stand.|2001||49.5346|-124.9004||ENF|Cfb|9.94|1676|CA-Ca3|British Columbia - Pole sapling Douglas-fir stand.|2001|NA|49.5346|-124.9004|NA|9.94|1676|Cfb|NA|no
CA-Cbo|Ontario - Mixed Deciduous, Borden Forest Site|||44.3167|-79.9333|120.00|DBF|Dfb|6.66|876|CA-Cbo|Ontario - Mixed Deciduous, Borden Forest Site|NA|NA|44.3167|-79.9333|120|6.66|876|Dfb|NA|no
CA-Cha|New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3).|||45.8847|-67.3569|341.00|MF|Dfb|3.46|972|CA-Cha|New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3).|NA|NA|45.8847|-67.3569|341|3.46|972|Dfb|NA|no
CA-DL1|Daring Lake - Mixed Tundra|2004||64.8689|-111.5748|425.00|OSH|Dfc|-9.00|250|CA-DL1|Daring Lake - Mixed Tundra|2004|NA|64.8689|-111.5748|425|-9|250|Dfc|NA|no
CA-DL2|Daring Lake - Fen|2006||64.8648|-111.5677|416.00|WET|Dfc|-9.00|250|CA-DL2|Daring Lake - Fen|2006|NA|64.8648|-111.5677|416|-9|250|Dfc|NA|no
CA-Fen|Saskatchewan - Western Boreal, wetland.|||53.8021|-104.6180||WET|Dfc|0.18|433|CA-Fen|Saskatchewan - Western Boreal, wetland.|NA|NA|53.8021|-104.618|NA|0.18|433|Dfc|NA|no
